id,Time,Time_of_day,Visitors,Day,MonthName,year,Month,Date,day
369,12:30,PM,78,2,May,2014,5,5/2/2014,Friday
370,13:00,PM,45,2,May,2014,5,5/2/2014,Friday
371,13:30,PM,45,2,May,2014,5,5/2/2014,Friday
372,17:00,PM,276,2,May,2014,5,5/2/2014,Friday
373,17:30,PM,83,2,May,2014,5,5/2/2014,Friday
374,11:30,AM,49,3,May,2014,5,5/3/2014,Saturday
375,12:00,PM,716,3,May,2014,5,5/3/2014,Saturday
376,12:30,PM,421,3,May,2014,5,5/3/2014,Saturday
377,13:00,PM,452,3,May,2014,5,5/3/2014,Saturday
378,13:15,PM,110,3,May,2014,5,5/3/2014,Saturday
379,14:00,PM,86,3,May,2014,5,5/3/2014,Saturday
380,17:30,PM,83,3,May,2014,5,5/3/2014,Saturday
381,12:00,PM,143,4,May,2014,5,5/4/2014,Sunday
382,12:30,PM,120,4,May,2014,5,5/4/2014,Sunday
383,13:30,PM,94,4,May,2014,5,5/4/2014,Sunday
384,14:00,PM,343,4,May,2014,5,5/4/2014,Sunday
385,12:00,PM,195,5,May,2014,5,5/5/2014,Monday
386,12:30,PM,407,5,May,2014,5,5/5/2014,Monday
387,13:30,PM,85,5,May,2014,5,5/5/2014,Monday
388,16:00,PM,21,5,May,2014,5,5/5/2014,Monday
389,17:00,PM,77,5,May,2014,5,5/5/2014,Monday
390,11:00,AM,34,6,May,2014,5,5/6/2014,Tuesday
391,12:00,PM,427,6,May,2014,5,5/6/2014,Tuesday
392,12:30,PM,144,6,May,2014,5,5/6/2014,Tuesday
393,13:30,PM,101,6,May,2014,5,5/6/2014,Tuesday
394,17:30,PM,55,6,May,2014,5,5/6/2014,Tuesday
395,7:00,AM,44,7,May,2014,5,5/7/2014,Wednesday
396,11:00,AM,633,7,May,2014,5,5/7/2014,Wednesday
397,11:30,AM,70,7,May,2014,5,5/7/2014,Wednesday
398,12:00,PM,471,7,May,2014,5,5/7/2014,Wednesday
399,12:30,PM,381,7,May,2014,5,5/7/2014,Wednesday
400,13:00,PM,25,7,May,2014,5,5/7/2014,Wednesday
